lactkey,Farm,Breed,CalveDate,CalveMonth,Parity,Scale,Ramp,Offset,Decay,points,RMSE,M305,PeakDay,PeakMilk,dim1,milk1,dim2,milk2,dim3,milk3,dim4,milk4,dim5,milk5,dim6,milk6,dim7,milk7,dim8,milk8,dim9,milk9,dim10,milk10
3891684,D, H, 2007-01-27,1, 1, 44, 36.6, -0.5, 0.0003, 10, 3.8, 11926, 135.2, 41.52, 10, 20.9, 38, 27.7, 66, 38.6, 96, 44.9, 129, 42.2, 157, 41.8, 192, 39, 220, 43.1, 255, 38.1, 284, 42.2 
3891686,D, H, 2007-01-28,1, 1, 32.2, 34.3, -0.5, 0.0006, 10, 3.5, 8382, 108.2, 29.46, 9, 24.5, 37, 20.9, 65, 23.6, 95, 29.1, 128, 32.7, 156, 32.2, 191, 29.5, 219, 31.3, 254, 24.1, 283, 25.4 
3891688,D, H, 2007-01-29,1, 1, 44, 36.7, -0.5, 0.0008, 10, 7, 11081, 103.9, 39.27, 8, 10, 36, 28.6, 64, 36.8, 94, 44.5, 127, 42.7, 155, 37.7, 190, 40.9, 218, 39, 253, 36.3, 282, 24.1 
3891691,D, H, 2007-01-30,1, 1, 36, 29.6, -0.5, -0.0001, 10, 5.1, 10606, 0, 18.31, 7, 12.7, 35, 36.3, 63, 38.6, 93, 33.1, 126, 36.8, 154, 28.1, 189, 40.4, 217, 41.8, 252, 35.4, 281, 38.1 
3891693,D, H, 2007-02-06,2, 1, 38.3, 26.9, -0.5, 0.0008, 10, 4.8, 9865, 85.3, 35.08, 28, 34.5, 56, 34.5, 86, 35.9, 119, 40, 147, 22.7, 182, 29.5, 210, 36.3, 245, 28.6, 274, 35.4, 301, 31.8 
3891694,D, H, 2007-02-09,2, 1, 49.7, 31.6, -0.5, 0.0008, 10, 2.6, 12724, 96.1, 45.08, 25, 37.2, 53, 44, 83, 42.2, 116, 48.6, 144, 40.4, 179, 45.9, 207, 46.3, 242, 38.1, 271, 39.5, 298, 40 
3891697,D, H, 2007-02-16,2, 1, 44, 36.7, -0.5, 0.0008, 10, 3.8, 11040, 102.9, 39.18, 18, 23.6, 46, 29.1, 76, 40, 109, 38.1, 137, 36.3, 172, 36.3, 200, 39, 235, 40.9, 264, 36.8, 291, 31.8 
3891698,D, H, 2007-02-23,2, 1, 45.7, 32.8, -0.5, 0.0008, 10, 5, 11654, 98, 41.3, 11, 23.6, 39, 37.7, 69, 40.9, 102, 45.9, 130, 39, 165, 49.9, 193, 30.4, 228, 40.9, 257, 38.6, 284, 33.1 
3891700,D, H, 2007-02-23,2, 1, 39.8, 29.8, -0.5, 0.0017, 10, 3.5, 8951, 70, 33.77, 11, 21.8, 39, 39, 69, 29.1, 102, 34, 130, 30.9, 165, 33.1, 193, 31.8, 228, 25.4, 257, 27.7, 284, 20.9 
3891701,D, H, 2007-02-24,2, 1, 47.3, 32.7, -0.5, 0.001, 10, 4.4, 11597, 88.8, 41.72, 10, 23.6, 38, 36.3, 68, 44.9, 101, 47.2, 129, 37.7, 164, 43.6, 192, 41.8, 227, 30.9, 256, 40, 283, 31.8 
3891703,D, H, 2007-03-03,3, 1, 43.6, 32.5, -0.5, 0.0007, 10, 3.5, 11205, 99.4, 39.6, 31, 35.4, 61, 35.4, 94, 37.2, 122, 41.8, 157, 38.6, 185, 43.1, 220, 39, 249, 37.2, 276, 27.7, 304, 37.7 
3891704,D, H, 2007-03-14,3, 1, 51.8, 32.2, -0.5, 0.0009, 9, 4.4, 13053, 93.4, 46.5, 20, 37.7, 50, 38.1, 83, 55.8, 111, 43.1, 146, 43.6, 174, 49, 209, 43.6, 238, 38.6, 265, 41.3 ,,
3891706,D, H, 2007-03-17,3, 1, 41.7, 33.4, -0.5, 0.0006, 10, 2.7, 10993, 110.4, 38.51, 17, 28.1, 47, 33.1, 80, 37.2, 108, 40.4, 143, 42.2, 171, 37.7, 206, 39.5, 235, 34, 262, 31.8, 290, 39 
3891708,D, H, 2007-03-30,3, 1, 46, 30.7, -0.5, 0.0008, 9, 2, 11676, 91.6, 41.55, 34, 39.5, 67, 37.2, 95, 43.1, 130, 40.9, 158, 41.3, 193, 40.9, 222, 35.4, 249, 37.2, 277, 37.7 ,,
3891964,D, H, 2007-02-06,2, 1, 39.2, 31.7, -0.5, 0.0011, 10, 5.1, 9559, 85.3, 34.55, 28, 37.2, 56, 23.2, 86, 34.5, 119, 35.9, 147, 30.9, 182, 39.5, 210, 34, 245, 32.2, 274, 25.4, 301, 25 
3917863,S, H, 2006-09-19,9, 3, 53.5, 25.7, 0, 0.0017, 9, 3.9, 12086, 64.2, 46.05, 17, 43.6, 51, 42.2, 78, 38.6, 113, 45.4, 149, 44.5, 183, 41.8, 211, 39, 242, 38.1, 273, 29.1 ,,
3917880,S, H, 2006-09-27,9, 3, 62.5, 42.3, 0, 0.0021, 10, 8.6, 12921, 77.5, 49.06, 9, 11.3, 43, 40.9, 70, 47.2, 105, 45.4, 141, 46.8, 175, 46.8, 203, 46.8, 234, 40.9, 265, 39, 300, 31.8 
3917887,S, H, 2006-10-25,10, 3, 74.7, 28.7, 0, 0.0025, 9, 2.7, 14941, 57.8, 60.4, 15, 49.9, 42, 59.5, 77, 61.7, 113, 53.6, 147, 53.6, 175, 46.8, 206, 49.5, 237, 43.1, 272, 33.1 ,,
3917893,S, H, 2006-10-14,10, 3, 78.1, 41.4, 0, 0.0013, 9, 4.4, 18053, 94.1, 65.5, 26, 54.9, 53, 61.7, 88, 58.1, 124, 70.4, 158, 69, 186, 65.4, 217, 58.6, 248, 51.8, 283, 50.8 ,,
3917897,S, H, 2006-10-16,10, 3, 74.5, 37.6, 0, 0.0026, 9, 3.8, 14360, 64.8, 57.29, 24, 49.9, 51, 57.2, 86, 53.1, 122, 57.2, 156, 50.8, 184, 53.6, 215, 36.8, 246, 37.7, 281, 33.1 ,,
3917908,S, H, 2006-09-23,9, 3, 67.4, 30.4, 0, 0.0045, 10, 7.6, 10206, 43, 48.7, 13, 35.9, 47, 48.6, 74, 57.2, 109, 41.8, 145, 23.6, 179, 36.3, 207, 30, 238, 28.1, 269, 16.3, 304, 3.6 
3917911,S, H, 2006-10-18,10, 3, 70.2, 36.4, 0, 0.0017, 9, 6.3, 15346, 77.3, 57.63, 22, 44.9, 49, 60.8, 84, 53.1, 120, 53.6, 154, 55.8, 182, 58.6, 213, 57.2, 244, 34, 279, 40.9 ,,
3917919,S, H, 2006-10-01,10, 3, 66, 32, 0, 0.0022, 10, 5.7, 13571, 64.3, 53.34, 5, 25.9, 39, 49.9, 66, 57.2, 101, 59.5, 137, 52.2, 171, 40.4, 199, 48.1, 230, 38.1, 261, 31.8, 296, 30.4 
3917942,S, H, 2006-10-19,10, 3, 82.2, 39.7, 0, 0.0017, 9, 8, 18023, 82.4, 67.05, 21, 47.2, 48, 66.7, 83, 70.8, 119, 62.7, 153, 70.4, 181, 71.7, 212, 58.6, 243, 37.7, 278, 50.8 ,,
3917993,S, H, 2006-11-01,11, 3, 75.1, 30.8, 0, 0.0023, 10, 14.2, 15364, 62.3, 60.83, 8, 37.2, 35, 60.8, 70, 59.5, 106, 69, 140, 15.4, 168, 43.1, 199, 49.5, 230, 48.1, 265, 49.5, 297, 25.4 
3918018,S, H, 2006-10-15,10, 3, 63.6, 41, 0, 0.0004, 9, 7.6, 17060, 146.1, 59.59, 25, 26.3, 52, 49.5, 87, 53.1, 123, 61.3, 157, 62.7, 185, 62.7, 216, 55.8, 247, 54.5, 282, 64.9 ,,
3918031,S, H, 2006-09-03,9, 3, 66.4, 9, 0, 0.0042, 9, 5.4, 11154, 23.7, 57.99, 33, 59, 67, 49.9, 94, 42.2, 129, 43.1, 165, 41.8, 199, 35, 227, 23.6, 258, 12.7, 289, 15 ,,
3918036,S, H, 2006-10-27,10, 3, 53.9, 19.7, 0, 0.0018, 10, 5.1, 12081, 52.7, 47.28, 13, 38.6, 40, 47.2, 75, 44, 111, 53.6, 145, 40.4, 173, 27.2, 204, 38.1, 235, 36.8, 270, 35.9, 302, 30.4 
3918041,S, H, 2006-10-31,10, 2, 61.2, 26.1, -0.7, 0.0009, 10, 15.9, 15452, 79.1, 55.52, 9, 26.3, 36, 54.5, 71, 60.8, 107, 58.6, 141, 49.5, 169, 55.8, 200, 57.2, 231, 40.4, 266, 17.7, 298, 11.3 
3918059,S, H, 2006-11-03,11, 3, 49.2, 24.7, 0, 0.0015, 10, 8.3, 11509, 65.9, 43.18, 6, 18.6, 33, 45.9, 68, 45.4, 104, 45.4, 138, 50.8, 166, 35, 197, 24.1, 228, 30.4, 263, 29.1, 295, 45.9 
3918068,S, H, 2006-10-05,10, 3, 84.6, 38.3, 0, 0.002, 9, 8, 17803, 74.9, 67.76, 35, 65.8, 62, 57.2, 97, 73.1, 133, 59.9, 167, 76.7, 195, 54.9, 226, 54.9, 257, 51.8, 292, 35.9 ,,
3918075,S, H, 2006-09-27,9, 3, 54.1, 37.9, 0, 0.0016, 10, 3.6, 11970, 81.1, 44.54, 9, 29.5, 43, 42.2, 70, 39.5, 105, 48.1, 141, 45.4, 175, 44.5, 203, 43.1, 234, 36.8, 265, 30.4, 300, 29.1 
3918087,S, H, 2006-09-11,9, 3, 71.3, 29.2, 0, 0.0017, 9, 4.8, 16020, 69.4, 60.6, 25, 52.7, 59, 65.8, 86, 52.2, 121, 58.1, 157, 57.2, 191, 55.8, 219, 55.8, 250, 40.9, 281, 41.8 ,,
3918187,S, H, 2006-11-03,11, 2, 66.7, 26.4, -0.7, 0.0017, 10, 11.8, 14973, 63.8, 57.16, 6, 35, 33, 47.2, 68, 55.4, 104, 65.4, 138, 52.2, 166, 53.6, 197, 52.2, 228, 43.1, 263, 38.1, 295, 6.4 
3918205,S, H, 2006-10-27,10, 6, 66.5, 26.8, 0, 0.0015, 10, 4.2, 15390, 68.8, 57.7, 13, 42.2, 40, 60.8, 75, 51.8, 111, 57.2, 145, 52.2, 173, 50.8, 204, 58.6, 235, 44, 270, 42.2, 302, 40.9 
3918481,S, H, 2006-09-06,9, 2, 44.3, 22.2, -0.8, 0.0002, 9, 8.9, 12634, 106.4, 43.29, 30, 47.7, 64, 32.2, 91, 37.2, 126, 40.4, 162, 39, 196, 39, 224, 58.6, 255, 53.6, 286, 34 ,,
3918546,S, H, 2006-09-02,9, 6, 44.4, 42.3, 0, 0.0017, 8, 6.3, 9594, 83.9, 35.69, 34, 28.1, 68, 30, 95, 32.2, 130, 46.8, 166, 27.2, 200, 32.7, 228, 34, 259, 20.4 ,,,,
3918548,S, H, 2006-09-11,9, 2, 76.6, 24, -0.8, 0.0018, 9, 9.1, 17137, 59.3, 66.12, 25, 56.3, 59, 69.5, 86, 75.4, 121, 41.8, 157, 65.4, 191, 57.2, 219, 59.9, 250, 49.5, 281, 37.7 ,,
3918557,S, H, 2006-10-08,10, 2, 54.2, 24.8, -0.8, 0.0031, 9, 4.8, 10057, 47.5, 43.42, 32, 37.2, 59, 40.9, 94, 49.5, 130, 40.4, 164, 30, 192, 32.7, 223, 20.4, 254, 24.1, 289, 20.4 ,,
3918564,S, X, 2006-10-15,10, 5, 54.6, 39.3, -0, 0.0026, 9, 9.6, 10497, 66.3, 41.68, 25, 40, 52, 25.9, 87, 46.8, 123, 49.5, 157, 41.8, 185, 44.5, 216, 28.1, 247, 24.1, 282, 10 ,,
3918598,S, H, 2006-10-13,10, 2, 54.6, 24.8, -0.8, 0.0028, 9, 5, 10532, 49.7, 44.36, 27, 40.9, 54, 39.5, 89, 41.8, 125, 48.1, 159, 36.3, 187, 37.7, 218, 28.1, 249, 19.1, 284, 22.7 ,,
3918610,S, H, 2006-09-26,9, 2, 65.6, 24.1, -0.8, 0.003, 9, 5.5, 12357, 47.4, 53.07, 10, 48.6, 44, 42.2, 71, 55.8, 106, 51.8, 142, 37.7, 176, 44.5, 204, 39, 235, 29.1, 266, 26.3 ,,
3918647,S, H, 2006-09-20,9, 2, 50.2, 26.4, -0.7, 0.0006, 9, 8.7, 13254, 89.6, 46.66, 16, 30.9, 50, 32.2, 77, 34.5, 112, 40.4, 148, 49.5, 182, 52.2, 210, 32.7, 241, 53.6, 272, 43.1 ,,
3918650,S, H, 2006-09-27,9, 2, 61.3, 22.9, -0.8, 0.0016, 9, 5.5, 14098, 60, 53.7, 9, 43.6, 43, 50.8, 70, 48.1, 105, 61.7, 141, 40.4, 175, 46.8, 203, 48.1, 234, 45.9, 265, 35.4 ,,
3918667,S, H, 2006-10-10,10, 2, 75.6, 24.4, -0.8, 0.0028, 9, 5.2, 14706, 49.8, 61.69, 30, 60.8, 57, 55.8, 92, 55.4, 128, 58.6, 162, 53.6, 190, 50.8, 221, 44.5, 252, 30.4, 287, 28.1 ,,
3918677,S, H, 2006-09-06,9, 6, 53.5, 42.3, 0, 0.0025, 9, 9.2, 10420, 70.6, 40.69, 30, 33.1, 64, 35, 91, 37.2, 126, 63.1, 162, 43.1, 196, 36.3, 224, 31.3, 255, 29.1, 286, 22.7 ,,
3918687,S, H, 2006-10-22,10, 2, 69.5, 24.8, -0.8, 0.0016, 9, 5.9, 15828, 62.4, 60.28, 18, 47.2, 45, 63.1, 80, 55.4, 116, 54.9, 150, 58.6, 178, 57.2, 209, 58.6, 240, 45.4, 275, 33.1 ,,
3918695,S, H, 2006-10-30,10, 2, 50.2, 26.4, -0.7, 0.0014, 10, 5.3, 11869, 69.7, 44.05, 10, 28.6, 37, 35.9, 72, 37.7, 108, 44.5, 142, 39, 170, 43.1, 201, 42.2, 232, 26.3, 267, 31.8, 299, 39.5 
3918702,S, H, 2006-09-18,9, 2, 35.2, 24.8, -0.8, -0.0001, 9, 7.7, 10417, 0, 18.12, 18, 18.2, 52, 32.2, 79, 33.6, 114, 17.7, 150, 36.3, 184, 44.5, 212, 40.4, 243, 42.2, 274, 39 ,,
3918708,S, H, 2006-09-27,9, 2, 50, 20.5, -0.8, 0.0045, 9, 10.1, 7875, 35.8, 39.08, 9, 33.1, 43, 42.2, 70, 39.5, 105, 3.6, 141, 23.6, 175, 19.5, 203, 25.9, 234, 17.7, 265, 6.4 ,,
3918710,S, H, 2006-09-08,9, 2, 64.6, 26.4, -0.8, 0.0007, 9, 5.1, 16968, 87.8, 59.89, 28, 48.6, 62, 50.8, 89, 59.5, 124, 59.5, 160, 65.4, 194, 59.9, 222, 57.2, 253, 58.6, 284, 45.4 ,,
3918713,S, H, 2006-10-02,10, 2, 49, 23.3, -0.8, 0.0007, 9, 2.2, 12848, 78.7, 45.58, 38, 43.6, 65, 43.6, 100, 45.4, 136, 41.8, 170, 45.4, 198, 46.8, 229, 39.5, 260, 43.1, 295, 38.1 ,,
3918728,S, H, 2006-10-06,10, 2, 56.8, 22.6, -0.8, 0.002, 9, 6.6, 12277, 54, 48.65, 34, 49.9, 61, 44.5, 96, 44, 132, 46.8, 166, 37.7, 194, 49.5, 225, 21.8, 256, 37.7, 291, 33.1 ,,
3918739,S, H, 2006-10-18,10, 2, 58.5, 26.4, -0.8, 0.0008, 9, 5.1, 15004, 82.4, 53.52, 22, 43.6, 49, 47.2, 84, 43.1, 120, 50.8, 154, 46.8, 182, 49.5, 213, 57.2, 244, 49.5, 279, 48.6 ,,
3918748,S, H, 2006-10-29,10, 2, 63.2, 26.1, -0.7, 0.0001, 10, 19.2, 18177, 141.4, 62.35, 11, 30, 38, 61.7, 73, 53.1, 109, 58.6, 143, 28.6, 171, 85.8, 202, 22.7, 233, 63.1, 268, 53.6, 300, 71.3 
3918788,R, H, 2006-05-02,5, 1, 54.1, 29.4, -0.5, 0.0006, 9, 2.1, 14263, 98.2, 50.11, 29, 46.8, 58, 45.9, 87, 48.6, 120, 52.2, 157, 48.6, 191, 47.2, 218, 49.5, 253, 44, 289, 46.8 ,,
3918789,R, H, 2006-05-09,5, 1, 44, 36.6, -0.5, 0.0002, 9, 12.3, 12195, 154.7, 42.37, 22, 20, 51, 33.1, 80, 42.2, 113, 43.1, 150, 40, 184, 44.9, 211, 44.5, 246, 7.7, 282, 40.4 ,,
3918792,R, H, 2006-05-14,5, 1, 36.9, 31, -0.5, 0.0011, 9, 2.8, 9028, 84.4, 32.63, 17, 28.1, 46, 30.4, 75, 28.1, 108, 35.9, 145, 32.2, 179, 26.3, 206, 30.9, 241, 31.8, 277, 25.9 ,,
3918818,R, H, 2006-04-23,4, 1, 49.4, 29.7, -0.5, 0.0011, 10, 4.6, 12118, 82.1, 43.85, 6, 27.2, 38, 40.4, 67, 52.2, 96, 34.5, 129, 43.1, 166, 42.2, 200, 38.6, 227, 42.2, 262, 40.4, 298, 31.3 
3918823,R, H, 2006-04-15,4, 1, 46.9, 32, -0.5, 0.001, 9, 1.9, 11536, 87.8, 41.51, 14, 30, 46, 39, 75, 42.2, 104, 40.9, 137, 43.1, 174, 38.6, 208, 38.6, 235, 39.5, 270, 31.8 ,,
3918826,R, H, 2006-05-14,5, 1, 54.8, 28.2, -0.5, 0.0006, 9, 4.1, 14413, 94.1, 50.74, 17, 34.5, 46, 53.6, 75, 55.8, 108, 48.6, 145, 48.6, 179, 42.2, 206, 49.5, 241, 46.8, 277, 49.5 ,,
3918830,R, H, 2006-04-15,4, 1, 57.9, 29.8, -0.5, 0.0003, 9, 12.4, 16033, 121.4, 55.51, 14, 35, 46, 55.8, 75, 54.9, 104, 20.4, 137, 61.3, 174, 49.9, 208, 50.8, 235, 50.8, 270, 59.5 ,,
3918833,R, H, 2006-05-10,5, 1, 46.8, 24.8, -0.5, 0.002, 9, 8.9, 10174, 58.5, 39.79, 21, 51.3, 50, 45.9, 79, 34.5, 112, 20.4, 149, 28.1, 183, 32.2, 210, 37.2, 245, 30.4, 281, 32.7 ,,
3918858,R, H, 2006-05-23,5, 1, 60, 29.6, -0.5, 0.001, 10, 11, 14970, 85.3, 53.75, 8, 35.9, 37, 20.4, 66, 55.8, 99, 54.9, 136, 51.3, 170, 50.8, 197, 58.1, 232, 56.7, 268, 32.7, 302, 45.4 
3918862,R, H, 2006-05-01,5, 1, 52.1, 28.6, -0.5, 0.001, 9, 2.2, 13034, 83.3, 46.84, 30, 44.9, 59, 43.1, 88, 49.5, 121, 45.9, 158, 42.2, 192, 40.9, 219, 43.6, 254, 43.1, 290, 39 ,,
3918867,R, H, 2006-05-11,5, 1, 48.8, 25.2, -0.5, -0.0002, 9, 6.1, 14777, 0, 24.89, 20, 42.7, 49, 47.2, 78, 50.8, 111, 45.9, 148, 43.6, 182, 43.6, 209, 48.1, 244, 49.5, 280, 65.4 ,,
3918871,R, H, 2006-04-20,4, 1, 42.9, 28.3, -0.5, 0.0009, 10, 4.7, 10845, 84.6, 38.82, 9, 23.6, 41, 40.4, 70, 42.2, 99, 40.9, 132, 30.4, 169, 37.2, 203, 40, 230, 27.2, 265, 32.7, 301, 39 
3918873,R, H, 2006-05-03,5, 1, 44, 36.6, -0.5, 0.0005, 9, 5.4, 11605, 120.3, 40.61, 28, 22.2, 57, 33.1, 86, 48.6, 119, 45.9, 156, 42.2, 190, 37.2, 217, 39.5, 252, 37.7, 288, 37.7 ,,
3918879,R, H, 2006-04-20,4, 1, 48.2, 31.6, -0.5, 0.0016, 10, 4.4, 10961, 74.4, 40.91, 9, 25, 41, 40.4, 70, 36.8, 99, 50.8, 132, 39.5, 169, 38.6, 203, 30, 230, 30.9, 265, 34, 301, 30 
3918889,R, H, 2006-04-26,4, 1, 40.2, 31.3, -0.5, 0.0006, 9, 4, 10600, 104.3, 37.18, 35, 31.3, 64, 35.9, 93, 44.5, 126, 33.1, 163, 30.9, 197, 35, 224, 40.9, 259, 32.7, 295, 36.3 ,,
3918898,R, H, 2006-04-28,4, 1, 30.9, 30.3, -0.5, 0.0006, 9, 4.4, 8117, 100, 28.53, 33, 32.2, 62, 20.4, 91, 25.4, 124, 29.1, 161, 29.5, 195, 31.3, 222, 28.6, 257, 20.4, 293, 28.6 ,,
3918900,R, H, 2006-05-15,5, 1, 46, 31.3, -0.5, 0.0022, 9, 4.2, 9486, 63.2, 37.31, 16, 29.1, 45, 38.1, 74, 38.1, 107, 31.8, 144, 33.1, 178, 35.9, 205, 35.9, 240, 25.4, 276, 16.8 ,,
3918902,R, H, 2006-04-19,4, 1, 47.4, 25.1, -0.5, 0.0021, 9, 3.5, 10090, 57.2, 39.91, 10, 27.2, 42, 45.9, 71, 43.1, 100, 36.8, 133, 30.4, 170, 30.9, 204, 30, 231, 29.5, 266, 29.1 ,,
3918904,R, H, 2006-04-27,4, 1, 45.6, 33.2, -0.5, 0.0014, 8, 3.6, 10634, 80.6, 39.08, 34, 33.6, 63, 35.9, 92, 40.9, 125, 42.2, 162, 35.9, 196, 40, 223, 34.5, 258, 25.4 ,,,,
3918909,R, H, 2006-04-23,4, 1, 38.4, 32.6, -0.5, 0.0023, 9, 7.8, 7887, 64.4, 30.98, 6, 16.3, 38, 24.5, 67, 35.9, 96, 35.9, 129, 28.1, 166, 32.2, 200, 25, 227, 32.2, 262, 3.6 ,,
3918918,R, H, 2006-04-26,4, 1, 51.2, 33.2, -0.5, 0.0001, 9, 2.6, 14518, 168.5, 50.27, 35, 40.4, 64, 45.9, 93, 50.8, 126, 48.6, 163, 54, 197, 48.6, 224, 52.2, 259, 53.1, 295, 45.4 ,,
3918924,R, H, 2006-04-23,4, 1, 35.9, 29.5, -0.5, 0.0021, 9, 7, 7606, 63.3, 29.67, 6, 22.2, 38, 29.1, 67, 30.4, 96, 28.1, 129, 30.4, 166, 25.9, 200, 22.2, 227, 6.4, 262, 34 ,,
3918926,R, H, 2006-05-02,5, 1, 44, 24.8, -0.5, 0.0005, 9, 4.9, 11858, 90.7, 41.48, 29, 43.6, 58, 42.2, 87, 34.5, 120, 35.9, 157, 37.2, 191, 32.2, 218, 39.5, 253, 41.8, 289, 41.8 ,,
3918927,R, H, 2006-05-10,5, 1, 45.7, 26.8, -0.5, 0.0003, 9, 2.6, 12739, 113.2, 44, 21, 38.1, 50, 44.5, 79, 40.9, 112, 42.2, 149, 40, 183, 44.9, 210, 40.9, 245, 45.4, 281, 44.5 ,,
3918931,R, H, 2006-04-17,4, 1, 48.2, 36.6, -0.5, -0, 10, 6.6, 13802, 0, 24.42, 12, 13.6, 44, 35.9, 73, 47.2, 102, 49.5, 135, 49.5, 172, 46.3, 206, 50.8, 233, 52.2, 268, 40.4, 304, 50.8 
3918935,R, H, 2006-05-07,5, 1, 58.4, 30.4, -0.5, 0.0016, 9, 7.8, 13312, 72.5, 49.82, 24, 40.4, 53, 52.2, 82, 50.8, 115, 50.8, 152, 44.5, 186, 45.9, 213, 47.2, 248, 20.4, 284, 48.1 ,,
3918985,S, H, 2006-09-02,9, 5, 66.8, 40.7, 0, 0.0032, 9, 8.5, 11810, 59.9, 48.89, 34, 43.6, 68, 42.2, 95, 52.2, 130, 51.8, 166, 50.8, 200, 44.5, 228, 27.2, 259, 21.8, 290, 12.7 ,,
3918995,S, H, 2006-10-17,10, 6, 70, 34.9, 0, 0.0041, 9, 5.3, 11046, 48.1, 50.14, 23, 40, 50, 55.8, 85, 45.4, 121, 50.8, 155, 31.3, 183, 32.7, 214, 31.8, 245, 25.4, 280, 15.4 ,,
3918999,R, H, 2006-04-19,4, 1, 44.5, 33.4, -0.5, 0.0002, 9, 3.2, 12423, 145.5, 43.04, 10, 22.2, 42, 38.1, 71, 39.5, 100, 47.2, 133, 44.5, 170, 46.3, 204, 40.9, 231, 44.5, 266, 39 ,,
3919012,R, H, 2006-05-15,5, 1, 60.8, 26.9, -0.5, 0.0025, 9, 4.4, 12258, 55.6, 49.74, 16, 46.8, 45, 45.9, 74, 55.8, 107, 38.1, 144, 44.9, 178, 35.9, 205, 38.6, 240, 36.8, 276, 28.6 ,,
3919014,R, H, 2006-05-13,5, 1, 52.6, 24.8, -0.5, 0.0005, 9, 5.3, 14192, 91.6, 49.59, 18, 39, 47, 48.6, 76, 61.3, 109, 48.6, 146, 40.9, 180, 42.2, 207, 49.5, 242, 43.1, 278, 46.8 ,,
3919018,R, H, 2006-05-09,5, 1, 47.9, 24.8, -0.5, 0.0022, 9, 5.1, 10110, 56.2, 40.22, 22, 46.8, 51, 42.7, 80, 38.1, 113, 30.4, 150, 30.9, 184, 30, 211, 34.5, 246, 25.4, 282, 31.3 ,,
3919030,R, H, 2006-05-19,5, 1, 46.7, 35.4, -0.5, -0.0003, 9, 6.4, 14115, 0, 23.68, 12, 22.2, 41, 42.2, 70, 45.9, 103, 50.8, 140, 42.2, 174, 44.9, 201, 54.5, 236, 40.4, 272, 61.3 ,,
3919031,R, H, 2006-05-19,5, 1, 38.3, 32.8, -0.5, 0.002, 9, 3.9, 8150, 68.3, 31.37, 12, 26.8, 41, 25.4, 70, 29.1, 103, 35.9, 140, 29.5, 174, 27.2, 201, 30.9, 236, 24.1, 272, 15.4 ,,
3919037,R, H, 2006-05-02,5, 1, 44, 36.6, -0.5, 0.0005, 9, 5.7, 11605, 120.3, 40.61, 29, 29.1, 58, 33.1, 87, 43.1, 120, 40.9, 157, 34.5, 191, 37.2, 218, 35.9, 253, 51.8, 289, 34 ,,
3919049,R, H, 2006-05-13,5, 1, 45.5, 32.5, -0.5, -0.0001, 9, 6.3, 13240, 0, 23.07, 18, 22.2, 47, 40.9, 76, 54.9, 109, 47.2, 146, 44.9, 180, 40, 207, 43.6, 242, 41.8, 278, 53.6 ,,
3919069,R, H, 2006-05-15,5, 1, 50.7, 33.7, -0.5, 0.0006, 9, 3.5, 13190, 105.9, 46.4, 16, 30.4, 45, 40.9, 74, 47.2, 107, 52.2, 144, 46.3, 178, 42.2, 205, 48.1, 240, 45.4, 276, 37.7 ,,
3919076,R, H, 2006-05-13,5, 1, 50.7, 35.9, -0.5, -0.0004, 9, 4.1, 15438, 0, 25.72, 18, 31.3, 47, 34.5, 76, 50.8, 109, 53.6, 146, 51.3, 180, 53.6, 207, 58.1, 242, 56.7, 278, 55.8 ,,
3919080,R, H, 2006-04-30,4, 1, 43.1, 33.8, -0.5, 0.0011, 9, 2.7, 10509, 90.1, 37.82, 31, 31.3, 60, 33.1, 89, 40.9, 122, 39.5, 159, 38.6, 193, 35, 220, 32.2, 255, 36.8, 291, 28.6 ,,
3919082,R, H, 2006-05-20,5, 1, 53.3, 32.9, -0.5, 0.0013, 10, 9.4, 12566, 82.1, 45.96, 11, 29.1, 40, 40.9, 69, 50.8, 102, 45.9, 139, 46.3, 173, 40.9, 200, 45.9, 235, 45.4, 271, 27.2, 305, 10.4 
3919084,R, H, 2006-05-21,5, 1, 48.7, 26.5, -0.5, 0.0005, 10, 2.4, 13053, 94.4, 45.69, 10, 31.3, 39, 45.9, 68, 47.2, 101, 44.5, 138, 43.6, 172, 40, 199, 45.9, 234, 41.8, 270, 41.8, 304, 44.5 
3919090,R, H, 2006-05-23,5, 1, 54.1, 29.2, -0.5, 0.0005, 10, 3.3, 14513, 103.5, 50.71, 8, 29.1, 37, 48.6, 66, 50.8, 99, 54.9, 136, 43.6, 170, 49.9, 197, 52.2, 232, 48.1, 268, 48.1, 302, 45.4 
3919092,R, H, 2006-04-20,4, 1, 60.7, 29.2, -0.5, 0.0008, 9, 7.5, 15656, 91.4, 55.5, 9, 26.3, 41, 53.6, 70, 68.6, 99, 48.6, 132, 63.6, 169, 55.4, 203, 52.2, 230, 50.8, 265, 43.1 ,,
3919095,R, H, 2006-04-15,4, 1, 34.5, 31.2, -0.5, 0.0004, 9, 4.6, 9283, 112.1, 32.35, 14, 27.2, 46, 29.1, 75, 31.8, 104, 25.4, 137, 28.1, 174, 38.6, 208, 37.2, 235, 33.6, 270, 25.4 ,,
