lactkey,Farm,Breed,CalveDate,CalveMonth,Parity,Scale,Ramp,Offset,Decay,points,RMSE,M305,PeakDay,PeakMilk,dim1,milk1,dim2,milk2,dim3,milk3,dim4,milk4,dim5,milk5,dim6,milk6,dim7,milk7,dim8,milk8,dim9,milk9,dim10,milk10
338449,C, X, 2006-07-08,7, 1, 38.1, 32.4, -0.5, 0.0013, 8, 3.4, 8975, 80.9, 32.89, 13, 21.3, 49, 29.5, 71, 32.7, 110, 36.3, 133, 33.1, 165, 36.3, 219, 24.1, 275, 24.5 ,,,,
338475,D, X, 2007-02-23,2, 2, 41.1, 22.3, -0.8, 0.0022, 7, 3, 8699, 52.2, 34.95, 45, 36.8, 85, 34, 129, 25, 154, 31.8, 196, 24.5, 247, 27.7, 291, 21.3 ,,,,,,
338478,D, X, 2007-02-01,2, 2, 33.1, 24.5, -0.8, 0.0006, 7, 6.5, 8743, 84.3, 30.83, 11, 9.1, 67, 38.1, 107, 36.3, 151, 26.8, 176, 33.1, 218, 28.1, 269, 26.3 ,,,,,,
338494,D, X, 2007-03-18,3, 2, 46.7, 22.2, -0.8, 0.0023, 8, 1.5, 9774, 51.3, 39.55, 22, 38.6, 62, 37.7, 106, 36.3, 131, 34.5, 173, 30, 224, 30.4, 268, 26.3, 299, 22.7 ,,,,
338502,D, X, 2007-03-13,3, 2, 49.8, 22.5, -0.8, 0.0038, 8, 4.7, 8483, 40.8, 39.3, 27, 39.5, 67, 36.3, 111, 34.5, 136, 25.4, 178, 27.2, 229, 30.9, 273, 12.7, 304, 10.9 ,,,,
338516,C, X, 2006-07-27,7, 1, 30.5, 31.5, -0.5, 0.0017, 8, 3.6, 6824, 72.2, 25.68, 30, 20.4, 52, 22.7, 91, 28.6, 114, 32.2, 146, 22.7, 200, 18.2, 256, 17.3, 296, 19.5 ,,,,
338550,C, X, 2006-07-02,7, 1, 40.4, 30.2, -0.5, 0.0012, 8, 1.6, 9707, 79.7, 35.42, 19, 31.8, 55, 33.1, 77, 33.1, 116, 35.9, 139, 34, 171, 34, 225, 29.5, 281, 29.1 ,,,,
338597,D, X, 2007-02-12,2, 2, 39.8, 22.8, -0.8, 0.0015, 7, 2.8, 9250, 60.7, 35.04, 56, 35, 96, 31.8, 140, 32.7, 165, 35.9, 207, 24.5, 258, 29.1, 302, 25 ,,,,,,
338601,C, X, 2006-07-05,7, 1, 42.5, 30.4, -0.5, 0.0013, 8, 1.2, 10069, 78.1, 36.95, 16, 30.9, 52, 35.9, 74, 35.4, 113, 35, 136, 37.2, 168, 34.5, 222, 32.7, 278, 28.6 ,,,,
338611,C, X, 2006-07-09,7, 1, 25.2, 31.7, -0.5, 0.0003, 8, 2.5, 6978, 130, 24.17, 12, 17.3, 48, 17.3, 70, 24.5, 109, 27.7, 132, 21.8, 164, 26.3, 218, 23.6, 274, 23.6 ,,,,
