lactkey,Farm,Breed,CalveDate,Parity,monthinm,dim,milk
2239177,A, J, 2005-11-04, 1,9, 284, 15.9 
2239177,A, J, 2005-11-04, 1,2, 42, 22.7
2239177,A, J, 2005-11-04, 1,1, 6, 11.8
2239177,A, J, 2005-11-04, 1,3, 76, 21.8
2239179,A, J, 2006-01-23, 1,8,,
2239179,A, J, 2006-01-23, 1,9,,
2239179,A, J, 2006-01-23, 1,10,,
2239179,A, J, 2006-01-23, 1,3, 101, 25.4
2239179,A, J, 2006-01-23, 1,4, 137, 20
2239179,A, J, 2006-01-23, 1,5, 170, 13.6
2239179,A, J, 2006-01-23, 1,6, 204, 15.9
2239179,A, J, 2006-01-23, 1,7, 241, 15.9 
2239179,A, J, 2006-01-23, 1,1, 31, 22.7
2239179,A, J, 2006-01-23, 1,2, 67, 23.6
2239181,A, J, 2006-06-02, 1,8,,
2239181,A, J, 2006-06-02, 1,9,,
2239181,A, J, 2006-06-02, 1,10,,
2239181,A, J, 2006-06-02, 1,4, 111, 21.8
2239181,A, J, 2006-06-02, 1,5, 187, 20
2239181,A, J, 2006-06-02, 1,6, 238, 29.1
2239181,A, J, 2006-06-02, 1,7, 285, 26.8 
2239181,A, J, 2006-06-02, 1,2, 40, 28.1
2239181,A, J, 2006-06-02, 1,1, 7, 16.8
2239181,A, J, 2006-06-02, 1,3, 74, 18.2
2239184,A, J, 2006-01-30, 1,8,,
2239184,A, J, 2006-01-30, 1,9,,
2239184,A, J, 2006-01-30, 1,10,,
2239184,A, J, 2006-01-30, 1,4, 130, 25.9
2239184,A, J, 2006-01-30, 1,5, 163, 31.3
2239184,A, J, 2006-01-30, 1,6, 197, 23.6
2239184,A, J, 2006-01-30, 1,7, 234, 25.9 
2239184,A, J, 2006-01-30, 1,1, 24, 26.8
2239184,A, J, 2006-01-30, 1,2, 60, 28.6
2239184,A, J, 2006-01-30, 1,3, 94, 23.6
2239186,A, J, 2005-10-29, 1,10,,
2239186,A, J, 2005-10-29, 1,4, 117, 20
2239186,A, J, 2005-10-29, 1,1, 12, 8.2
2239186,A, J, 2005-10-29, 1,5, 153, 20
2239186,A, J, 2005-10-29, 1,6, 187, 18.2
2239186,A, J, 2005-10-29, 1,7, 223, 18.2
2239186,A, J, 2005-10-29, 1,8, 256, 18.2
2239186,A, J, 2005-10-29, 1,9, 290, 14.1 
2239186,A, J, 2005-10-29, 1,2, 48, 18.2
2239186,A, J, 2005-10-29, 1,3, 82, 19.5
2239189,A, J, 2005-11-22, 1,10,,
2239189,A, J, 2005-11-22, 1,4, 129, 21.8
2239189,A, J, 2005-11-22, 1,5, 163, 25.9
2239189,A, J, 2005-11-22, 1,6, 199, 25.9
2239189,A, J, 2005-11-22, 1,7, 232, 24.1
2239189,A, J, 2005-11-22, 1,1, 24, 16.8
2239189,A, J, 2005-11-22, 1,8, 266, 20
2239189,A, J, 2005-11-22, 1,9, 303, 17.7 
2239189,A, J, 2005-11-22, 1,2, 58, 21.8
2239189,A, J, 2005-11-22, 1,3, 93, 21.3
2239194,A, J, 2005-11-07, 1,9,,
2239194,A, J, 2005-11-07, 1,10,,
2239194,A, J, 2005-11-07, 1,3, 108, 15.9
2239194,A, J, 2005-11-07, 1,4, 144, 15.9
2239194,A, J, 2005-11-07, 1,5, 178, 14.1
2239194,A, J, 2005-11-07, 1,6, 214, 15
2239194,A, J, 2005-11-07, 1,7, 247, 15
2239194,A, J, 2005-11-07, 1,8, 281, 14.1 
2239194,A, J, 2005-11-07, 1,1, 39, 23.6
2239194,A, J, 2005-11-07, 1,2, 73, 20
2239196,A, J, 2005-12-27, 1,9,,
2239196,A, J, 2005-12-27, 1,10,,
2239196,A, J, 2005-12-27, 1,4, 128, 25.9
2239196,A, J, 2005-12-27, 1,5, 164, 24.1
2239196,A, J, 2005-12-27, 1,6, 197, 30
2239196,A, J, 2005-12-27, 1,1, 23, 20
2239196,A, J, 2005-12-27, 1,7, 231, 23.6
2239196,A, J, 2005-12-27, 1,8, 268, 27.7 
2239196,A, J, 2005-12-27, 1,2, 58, 23.6
2239196,A, J, 2005-12-27, 1,3, 94, 22.7
2239198,A, J, 2006-03-22, 1,8,,
2239198,A, J, 2006-03-22, 1,9,,
2239198,A, J, 2006-03-22, 1,10,,
2239198,A, J, 2006-03-22, 1,4, 112, 24.1
2239198,A, J, 2006-03-22, 1,5, 146, 21.8
2239198,A, J, 2006-03-22, 1,6, 183, 25.9
2239198,A, J, 2006-03-22, 1,7, 259, 20.9 
2239198,A, J, 2006-03-22, 1,2, 43, 23.6
2239198,A, J, 2006-03-22, 1,3, 79, 38.6
2239198,A, J, 2006-03-22, 1,1, 9, 20.9
2239201,A, J, 2005-11-19, 1,9,,
2239201,A, J, 2005-11-19, 1,10,,
2239201,A, J, 2005-11-19, 1,4, 132, 20.4
2239201,A, J, 2005-11-19, 1,5, 166, 25
2239201,A, J, 2005-11-19, 1,6, 202, 29.1
2239201,A, J, 2005-11-19, 1,7, 235, 26.3
2239201,A, J, 2005-11-19, 1,8, 269, 20.9 
2239201,A, J, 2005-11-19, 1,1, 27, 21.8
2239201,A, J, 2005-11-19, 1,2, 61, 24.1
2239201,A, J, 2005-11-19, 1,3, 96, 21.8
2239210,A, J, 2006-03-28, 1,8,,
2239210,A, J, 2006-03-28, 1,9,,
2239210,A, J, 2006-03-28, 1,10,,
2239210,A, J, 2006-03-28, 1,3, 106, 20.4
2239210,A, J, 2006-03-28, 1,4, 140, 20.9
2239210,A, J, 2006-03-28, 1,5, 177, 17.3
2239210,A, J, 2006-03-28, 1,6, 253, 12.3
2239210,A, J, 2006-03-28, 1,7, 304, 13.6 
2239210,A, J, 2006-03-28, 1,1, 37, 15.4
2239210,A, J, 2006-03-28, 1,2, 73, 18.2
